global_step=13280, episodic_ingame_score=0
global_step=13296, episodic_ingame_score=0
global_step=13312, episodic_ingame_score=0
global_step=13328, episodic_ingame_score=0
global_step=13344, episodic_ingame_score=0
global_step=13360, episodic_ingame_score=0
global_step=13376, episodic_ingame_score=0
global_step=13392, episodic_ingame_score=0
global_step=13408, episodic_ingame_score=0
global_step=13424, episodic_ingame_score=0
global_step=13440, episodic_ingame_score=0
global_step=13456, episodic_ingame_score=0
global_step=13472, episodic_ingame_score=0
global_step=13488, episodic_ingame_score=0
global_step=13504, episodic_ingame_score=0
global_step=13520, episodic_ingame_score=0
global_step=13536, episodic_ingame_score=0
global_step=13552, episodic_ingame_score=0
global_step=13568, episodic_ingame_score=0
global_step=13584, episodic_ingame_score=0
global_step=13600, episodic_ingame_score=0
global_step=13616, episodic_ingame_score=0
global_step=13632, episodic_ingame_score=0
global_step=13648, episodic_ingame_score=0
global_step=13664, episodic_ingame_score=0
global_step=13680, episodic_ingame_score=0
global_step=13696, episodic_ingame_score=0
global_step=13712, episodic_ingame_score=0
global_step=13728, episodic_ingame_score=0
global_step=13744, episodic_ingame_score=0
global_step=13760, episodic_ingame_score=0
global_step=13776, episodic_ingame_score=0
global_step=13792, episodic_ingame_score=0
global_step=13808, episodic_ingame_score=0
global_step=13824, episodic_ingame_score=0
global_step=13840, episodic_ingame_score=0
global_step=13856, episodic_ingame_score=0
global_step=13872, episodic_ingame_score=0
global_step=13888, episodic_ingame_score=0
global_step=13904, episodic_ingame_score=0
global_step=13920, episodic_ingame_score=0
global_step=13936, episodic_ingame_score=0
global_step=13952, episodic_ingame_score=0
global_step=13968, episodic_ingame_score=0
global_step=13984, episodic_ingame_score=0
global_step=14000, episodic_ingame_score=0
global_step=14016, episodic_ingame_score=0
global_step=14032, episodic_ingame_score=0
global_step=14048, episodic_ingame_score=0
global_step=14064, episodic_ingame_score=0
global_step=14080, episodic_ingame_score=0
